,air_pressure(mBar),date,coordinates,air_temperature,mass_concentration_of_chlorophyll_in_sea_water,relative_humidity,mass_concentration_of_oxygen_in_sea_wate,sea_water_practical_salinity,USA_SSHS,xco2,Methane_ppbv,tropical_storm_occurence
4179,1016.2,20151120,30.0-92.0,18.8,,,,,,,,0.0
4180,1015.8,20151120,30.0-95.0,19.8,,,,7.66,,,,0.0
4181,1013.6,20151120,29.0-97.0,,,,,,,,,0.0
4182,1013.7,20151120,28.0-95.0,24.1,,,,,,,,0.0
4183,1014.7,20151120,29.0-94.0,21.2,,,,35.9025,,,,0.0
4184,1016.4,20151120,30.0-88.0,22.4,,85.0,7.24,8.5,,,,0.0
4185,1015.0,20151120,30.0-93.0,19.2,,,,,,,,0.0
4186,1013.9,20151120,29.0-95.0,21.3,,,,,,,,0.0
4187,1014.0,20151120,28.0-97.0,21.5,,,,12.9,,,,0.0
4188,9999.0,20151120,28.0-96.0,21.2,,,,32.7628,,,,0.0
4189,1016.1,20151120,30.0-94.0,19.4,,,,27.8678,,,,0.0
4190,1016.1,20151120,29.0-90.0,21.9,,95.6,,,,,,0.0
4191,,20151120,28.0-89.0,23.5,,,,,,,,0.0
4192,,20151120,28.0-88.0,24.5,,,,,,,,0.0
4193,1009.65,20151121,29.0-92.0,18.56,,79.3,,,,,,0.0
4194,1019.2,20151121,28.0-97.0,17.3,,,,11.3,,,,0.0
4195,1011.2,20151121,28.0-92.0,22.2,,,,,,,,0.0
4196,1012.2,20151121,28.0-91.0,22.2,,,,,,,,0.0
4197,1013.86,20151121,28.0-94.0,-0.3,,52.0,,36.48,,,,0.0
4198,1014.4,20151121,30.0-87.0,24.8,,,,,,,,0.0
4199,1020.4,20151121,29.0-97.0,,,,,,,,,0.0
4200,1014.4,20151121,29.0-89.0,18.9,,,,,,,,0.0
4201,1015.0,20151121,30.0-90.0,16.8,,,,,,,,0.0
4202,1015.8,20151121,30.0-91.0,16.8,,,,,,,,0.0
4203,1014.8,20151121,29.0-91.0,17.1,,85.1,,14.08,,,,0.0
4204,1016.2,20151121,30.0-92.0,14.8,,,,,,,,0.0
4205,1020.4,20151121,30.0-95.0,16.1,,,,5.7,,,,0.0
4206,1013.4,20151121,30.0-88.0,21.9,,90.0,7.02,9.6,,,,0.0
4207,1016.2,20151121,28.0-95.0,20.4,,,,,,,,0.0
4208,1016.9,20151121,29.0-94.0,18.7,,,,35.7933,,,,0.0
4209,1015.0,20151121,30.0-89.0,18.2,,78.0,,33.73,,,,0.0
4210,1017.0,20151121,30.0-93.0,17.0,,,,,,,,0.0
4211,1017.3,20151121,29.0-95.0,17.8,,,,,,,,0.0
4212,9999.0,20151121,28.0-96.0,17.5,,,,30.1116,,,,0.0
4213,1019.0,20151121,30.0-94.0,16.6,,,,27.1431,,,,0.0
4214,1015.1,20151121,29.0-90.0,20.0,,95.6,,,,,,0.0
4215,,20151121,28.0-89.0,22.9,,,,,,,,0.0
4216,,20151121,28.0-88.0,21.7,,,,,,,,0.0
4217,1015.76,20151122,29.0-92.0,11.33,,42.0,,,,399.722351074219,,0.0
4218,1015.76,20151122,29.0-92.0,11.33,,42.0,,,,400.324340820312,,0.0
4219,1015.76,20151122,29.0-92.0,11.33,,42.0,,,,401.640411376953,,0.0
4220,1015.76,20151122,29.0-92.0,11.33,,42.0,,,,400.195892333984,,0.0
4221,1023.7,20151122,28.0-97.0,12.5,,,,9.4,,,,0.0
4222,1020.3,20151122,28.0-92.0,15.6,,,,,,,,0.0
4223,1019.6,20151122,28.0-91.0,15.6,,,,,,,,0.0
4224,1021.55,20151122,28.0-94.0,-6.6,,35.5,,36.48,,,,0.0
4225,1020.0,20151122,30.0-87.0,13.8,,,,,,,,0.0
4226,1022.1,20151122,30.0-89.0,10.1,,43.0,,34.33,,,,0.0
4227,1020.3,20151122,29.0-89.0,12.0,,,,,,,,0.0
4228,1021.3,20151122,29.0-90.0,12.2,,54.0,,,,,,0.0
4229,1021.5,20151122,30.0-90.0,9.2,,,,,,,,0.0
4230,1022.2,20151122,30.0-91.0,8.7,,,,,,,,0.0
4231,1021.4,20151122,29.0-91.0,11.8,,43.6,,0.62,,,,0.0
4232,1022.5,20151122,30.0-92.0,8.7,,,,,,,,0.0
4233,1023.7,20151122,30.0-95.0,12.0,,,,6.85,,,,0.0
4234,1023.5,20151122,30.0-94.0,11.0,,,,24.6217,,,,0.0
4235,1023.3,20151122,29.0-97.0,,,,,,,,,0.0
4236,1019.2,20151122,30.0-88.0,13.1,,55.0,6.83,8.2,,,,0.0
4237,1022.3,20151122,28.0-95.0,14.5,,,,,,,,0.0
4238,1023.0,20151122,29.0-94.0,12.6,,,,35.8345,,,,0.0
4239,1022.3,20151122,30.0-93.0,10.9,,,,,,,,0.0
4240,1022.2,20151122,29.0-95.0,10.9,,,,,,,,0.0
4241,9999.0,20151122,28.0-96.0,12.3,,,,33.5535,,,,0.0
4242,,20151122,28.0-89.0,15.0,,,,,,,,0.0
4243,,20151122,28.0-88.0,17.9,,,,,,,,0.0
4244,1018.65,20151123,29.0-92.0,14.72,,28.5,,,,,,0.0
4245,1023.8,20151123,28.0-97.0,15.4,,,,9.9,,,,0.0
4246,1023.0,20151123,28.0-92.0,18.3,,,,,,,,0.0
4247,1023.0,20151123,28.0-91.0,18.3,,,,,,,,0.0
4248,1023.8,20151123,28.0-94.0,-4.7,,39.5,,36.51,,,,0.0
4249,1023.2,20151123,28.0-95.0,18.3,,,,,,,,0.0
4250,1024.4,20151123,29.0-94.0,14.8,,,,35.7785,,,,0.0
4251,1025.8,20151123,30.0-87.0,16.5,,,,,,,,0.0
4252,1026.3,20151123,30.0-88.0,14.6,,78.0,6.58,8.1,,,,0.0
4253,1025.9,20151123,30.0-89.0,13.3,,37.0,,33.96,,,,0.0
4254,1024.9,20151123,29.0-89.0,12.8,,,,,,,,0.0
4255,1025.6,20151123,29.0-90.0,12.5,,95.0,,,,,,0.0
4256,1025.1,20151123,30.0-90.0,10.3,,,,,,,,0.0
4257,1025.5,20151123,30.0-91.0,11.5,,,,,,,,0.0
4258,1024.8,20151123,29.0-91.0,14.8,,50.2,,1.08,,,,0.0
4259,1025.2,20151123,30.0-92.0,12.4,,,,,,,,0.0
4260,1024.2,20151123,30.0-93.0,13.5,,,,,,,,0.0
4261,1024.9,20151123,30.0-95.0,14.2,,,,8.65,,,,0.0
4262,1025.1,20151123,30.0-94.0,13.5,,,,25.6781,,,,0.0
4263,1024.7,20151123,29.0-95.0,14.3,,,,,,,,0.0
4264,1023.4,20151123,29.0-97.0,,,,,,,,,0.0
4265,9999.0,20151123,28.0-96.0,15.5,,,,33.7627,,,,0.0
4266,,20151123,28.0-89.0,17.7,,,,,,,,0.0
4267,,20151123,28.0-88.0,18.7,,,,,,,,0.0
4268,1015.63,20151124,29.0-92.0,17.22,,65.1,,,,,,0.0
4269,1018.1,20151124,28.0-97.0,21.0,,,,7.6,,,,0.0
4270,1020.3,20151124,28.0-92.0,22.2,,,,,,,,0.0
4271,1020.7,20151124,28.0-91.0,21.7,,,,,,,,0.0
4272,1019.76,20151124,28.0-94.0,-0.2,,35.4,,36.51,,,,0.0
4273,1018.6,20151124,28.0-95.0,23.5,,,,,,,,0.0
4274,1019.3,20151124,29.0-94.0,20.2,,,,35.875,,,,0.0
4275,1025.7,20151124,30.0-87.0,16.9,,,,,,,,0.0
4276,1025.2,20151124,30.0-88.0,14.7,,59.0,7.11,14.9,,,,0.0
4277,1024.6,20151124,30.0-89.0,14.6,,54.0,,34.27,,,,0.0
4278,1022.7,20151124,29.0-89.0,17.8,,,,,,,,0.0
4279,1023.3,20151124,29.0-90.0,16.4,,95.6,,,,,,0.0
4280,1023.4,20151124,30.0-90.0,13.3,,,,,,,,0.0
4281,1023.4,20151124,30.0-91.0,15.8,,,,,,,,0.0
4282,1022.3,20151124,29.0-91.0,16.9,,77.3,,1.16,,,,0.0
4283,1022.1,20151124,30.0-92.0,15.7,,,,,,,,0.0
4284,1020.2,20151124,30.0-93.0,17.5,,,,,,,,0.0
4285,1020.3,20151124,30.0-95.0,17.7,,,,9.03,,,,0.0
4286,1021.2,20151124,30.0-94.0,17.5,,,,27.9704,,,,0.0
4287,1019.3,20151124,29.0-95.0,20.1,,,,,,,,0.0
4288,1017.8,20151124,29.0-97.0,,,,,,,,,0.0
4289,9999.0,20151124,28.0-96.0,20.3,,,,31.4556,,,,0.0
4290,,20151124,28.0-89.0,20.8,,,,,,,,0.0
4291,,20151124,28.0-88.0,22.1,,,,,,,,0.0
4292,1015.21,20151125,29.0-92.0,18.95,,79.6,,,,,,0.0
4293,1017.8,20151125,28.0-97.0,22.7,,,,12.0,,,,0.0
4294,1019.6,20151125,28.0-92.0,25.0,,,,,,,,0.0
4295,1020.3,20151125,28.0-91.0,25.0,,,,,,,,0.0
4296,1019.18,20151125,28.0-94.0,2.1,,50.6,,36.53,,,,0.0
4297,1017.8,20151125,28.0-95.0,24.6,,,,,,,,0.0
4298,1019.1,20151125,29.0-94.0,21.6,,,,35.646,,,,0.0
4299,1026.7,20151125,30.0-87.0,22.0,,,,,,,,0.0
4300,1026.3,20151125,30.0-88.0,20.2,,76.0,7.79,15.3,,,,0.0
4301,1025.2,20151125,30.0-89.0,19.3,,79.0,,33.94,,,,0.0
4302,1023.7,20151125,29.0-89.0,20.7,,,,,,,,0.0
4303,1023.4,20151125,30.0-90.0,19.2,,,,,,,,0.0
4304,1023.0,20151125,30.0-91.0,21.4,,,,,,,,0.0
4305,1022.1,20151125,29.0-91.0,19.6,,89.0,,12.23,,,,0.0
4306,1021.5,20151125,30.0-92.0,19.0,,,,,,,,0.0
4307,1020.4,20151125,30.0-93.0,19.0,,,,,,,,0.0
4308,1019.8,20151125,30.0-95.0,21.6,,,,9.11,,,,0.0
4309,1020.8,20151125,30.0-94.0,19.1,,,,30.2413,,,,0.0
4310,1019.0,20151125,29.0-95.0,21.0,,,,,,,,0.0
4311,1017.9,20151125,29.0-97.0,,,,,,,,,0.0
4312,9999.0,20151125,28.0-96.0,21.1,,,,34.9856,,,,0.0
4313,1023.1,20151125,29.0-90.0,23.1,,95.6,,,,,,0.0
4314,,20151125,28.0-89.0,23.6,,,,,,,,0.0
4315,,20151125,28.0-88.0,24.7,,,,,,,,0.0
4316,1017.46,20151126,29.0-92.0,19.44,,84.7,,,,,,0.0
4317,1018.3,20151126,28.0-97.0,23.1,,,,12.1,,,,0.0
4318,1021.7,20151126,28.0-92.0,25.0,,,,,,,,0.0
4319,1022.4,20151126,28.0-91.0,25.6,,,,,,,,0.0
4320,1020.75,20151126,28.0-94.0,2.0,,59.2,,36.52,,,,0.0
4321,1019.0,20151126,28.0-95.0,25.1,,,,,,,,0.0
4322,1020.5,20151126,29.0-94.0,22.2,,,,35.723,,,,0.0
4323,1028.3,20151126,30.0-87.0,23.8,,,,,,,,0.0
4324,1028.1,20151126,30.0-88.0,21.1,,77.0,7.77,15.9,,,,0.0
4325,1027.1,20151126,30.0-89.0,19.8,,85.0,,33.71,,,,0.0
4326,1025.4,20151126,29.0-89.0,21.4,,,,,,,,0.0
4327,1025.1,20151126,29.0-90.0,21.3,,95.6,,,,,,0.0
4328,1025.1,20151126,30.0-90.0,19.5,,,,,,,,0.0
4329,1024.6,20151126,30.0-91.0,22.4,,,,,,,,0.0
4330,1023.6,20151126,29.0-91.0,20.5,,90.1,,20.22,,,,0.0
4331,1023.4,20151126,30.0-92.0,19.9,,,,,,,,0.0
4332,1021.7,20151126,30.0-93.0,19.4,,,,,,,,0.0
4333,1020.6,20151126,30.0-95.0,22.3,,,,9.71,,,,0.0
4334,1022.2,20151126,30.0-94.0,20.0,,,,30.652,,,,0.0
4335,1019.9,20151126,29.0-95.0,21.7,,,,,,,,0.0
4336,1018.1,20151126,29.0-97.0,,,,,,,,,0.0
4337,9999.0,20151126,28.0-96.0,21.5,,,,31.3284,,,,0.0
4338,,20151126,28.0-89.0,23.3,,,,,,,,0.0
4339,,20151126,28.0-88.0,24.6,,,,,,,,0.0
4340,1014.93,20151127,29.0-92.0,20.08,,86.7,,,,,,0.0
4341,1019.6,20151127,28.0-92.0,25.6,,,,,,,,0.0
4342,9999.0,20151127,28.0-91.0,25.0,,,,,,,,0.0
4343,1019.07,20151127,28.0-94.0,2.4,,60.8,,36.5,,,,0.0
4344,1017.5,20151127,28.0-95.0,25.2,,,,,,,,0.0
4345,1018.7,20151127,29.0-94.0,22.3,,,,35.7823,,,,0.0
4346,1024.6,20151127,30.0-87.0,23.7,,,,,,,,0.0
4347,1024.8,20151127,30.0-88.0,22.3,,93.0,7.42,17.5,,,,0.0
4348,1024.0,20151127,30.0-89.0,19.8,,92.0,,33.63,,,,0.0
4349,1022.5,20151127,29.0-89.0,21.4,,,,,,,,0.0
4350,1022.1,20151127,30.0-90.0,21.1,,,,,,,,0.0
4351,1022.1,20151127,30.0-91.0,22.0,,,,,,,,0.0
4352,1021.3,20151127,29.0-91.0,20.9,,90.5,,14.44,,,,0.0
4353,1021.0,20151127,30.0-92.0,19.9,,,,,,,,0.0
4354,1019.7,20151127,30.0-93.0,19.5,,,,,,,,0.0
4355,1018.9,20151127,30.0-95.0,23.9,,,,8.46,,,,0.0
4356,1018.5,20151127,29.0-95.0,21.7,,,,,,,,0.0
4357,1017.1,20151127,29.0-97.0,,,,,,,,,0.0
4358,1017.3,20151127,28.0-97.0,23.8,,,,11.7,,,,0.0
4359,9999.0,20151127,28.0-96.0,22.1,,,,34.1641,,,,0.0
4360,1020.2,20151127,30.0-94.0,19.2,,,,26.757,,,,0.0
4361,1022.1,20151127,29.0-90.0,22.9,,95.6,,,,,,0.0
4362,,20151127,28.0-89.0,23.6,,,,,,,,0.0
4363,,20151127,28.0-88.0,24.6,,,,,,,,0.0
4364,1013.49,20151128,29.0-92.0,20.31,,88.1,,,,,,0.0
4365,1018.6,20151128,28.0-92.0,25.0,,,,,,,,0.0
4366,9999.0,20151128,28.0-91.0,26.1,,,,,,,,0.0
4367,1018.77,20151128,28.0-94.0,2.3,,52.5,,36.45,,,,0.0
4368,1021.5,20151128,30.0-87.0,23.6,,,,,,,,0.0
4369,1017.8,20151128,28.0-95.0,20.5,,,,,,,,0.0
4370,1018.4,20151128,29.0-94.0,17.4,,,,35.8027,,,,0.0
4371,1021.7,20151128,30.0-88.0,20.2,,91.0,7.58,18.2,,,,0.0
4372,1021.3,20151128,30.0-89.0,20.9,,89.0,,34.01,,,,0.0
4373,1020.3,20151128,29.0-89.0,20.9,,,,,,,,0.0
4374,1020.7,20151128,29.0-90.0,22.9,,95.6,,,,,,0.0
4375,1019.9,20151128,30.0-90.0,21.3,,,,,,,,0.0
4376,1020.3,20151128,30.0-91.0,21.9,,,,,,,,0.0
4377,1019.6,20151128,29.0-91.0,21.3,,92.1,,10.31,,,,0.0
4378,1019.6,20151128,30.0-92.0,20.4,,,,,,,,0.0
4379,1018.1,20151128,30.0-93.0,19.5,,,,,,,,0.0
4380,1020.6,20151128,30.0-95.0,12.1,,,,8.56,,,,0.0
4381,1019.5,20151128,29.0-95.0,11.9,,,,,,,,0.0
4382,1020.0,20151128,29.0-97.0,,,,,,,,,0.0
4383,1020.2,20151128,28.0-97.0,8.8,,,,14.6,,,,0.0
4384,9999.0,20151128,28.0-96.0,10.4,,,,33.4038,,,,0.0
4385,1019.0,20151128,30.0-94.0,19.7,,,,24.3194,,,,0.0
4386,,20151128,28.0-89.0,23.2,,,,,,,,0.0
4387,,20151128,28.0-88.0,24.3,,,,,,,,0.0
4388,1019.6,20151129,28.0-91.0,23.9,,,,,,,,0.0
4389,1010.89,20151129,29.0-92.0,21.24,,89.1,,,,400.299835205078,,0.0
4390,1010.89,20151129,29.0-92.0,21.24,,89.1,,,,397.093627929688,,0.0
4391,1010.89,20151129,29.0-92.0,21.24,,89.1,,,,398.901580810547,,0.0
4392,1010.89,20151129,29.0-92.0,21.24,,89.1,,,,400.043853759766,,0.0
4393,1010.89,20151129,29.0-92.0,21.24,,89.1,,,,400.560241699219,,0.0
4394,1010.89,20151129,29.0-92.0,21.24,,89.1,,,,399.877838134766,,0.0
4395,1016.3,20151129,28.0-92.0,24.4,,,,,,,,0.0
4396,1016.49,20151129,28.0-94.0,2.0,,54.4,,36.45,,,,0.0
4397,1016.4,20151129,28.0-95.0,18.6,,,,,,,,0.0
4398,1016.7,20151129,29.0-94.0,17.4,,,,35.6751,,,,0.0
4399,1019.2,20151129,30.0-87.0,25.0,,,,,,,,0.0
4400,1019.3,20151129,30.0-88.0,22.9,,94.0,7.98,16.8,,,,0.0
4401,1018.7,20151129,30.0-89.0,20.5,,87.0,,33.26,,,,0.0
4402,1018.0,20151129,29.0-89.0,20.1,,,,,,,,0.0
4403,1017.4,20151129,30.0-90.0,21.1,,,,,,,,0.0
4404,1017.5,20151129,30.0-91.0,21.0,,,,,,,,0.0
4405,1017.1,20151129,29.0-91.0,21.5,,89.6,,0.35,,,,0.0
4406,1017.0,20151129,30.0-92.0,21.1,,,,,,,,0.0
4407,1015.9,20151129,30.0-93.0,20.7,,,,,,,,0.0
4408,1018.1,20151129,30.0-95.0,11.0,,,,7.92,,,,0.0
4409,1017.5,20151129,29.0-95.0,11.7,,,,,,,,0.0
4410,1017.9,20151129,29.0-97.0,,,,,,,,,0.0
4411,1017.9,20151129,28.0-97.0,10.3,,,,13.0,,,,0.0
4412,9999.0,20151129,28.0-96.0,10.8,,,,35.3077,,,,0.0
4413,1017.2,20151129,30.0-94.0,19.1,,,,25.1602,,,,0.0
4414,1018.1,20151129,29.0-90.0,22.2,,95.6,,,,,,0.0
4415,,20151129,28.0-89.0,22.5,,,,,,,,0.0
4416,,20151129,28.0-88.0,23.9,,,,,,,,0.0
4417,1009.13,20151130,29.0-92.0,20.59,,91.6,,,,,,0.0
4418,1014.6,20151130,28.0-92.0,24.4,,,,,,,,0.0
4419,1015.6,20151130,28.0-91.0,22.8,,,,,,,,0.0
4420,1014.85,20151130,28.0-94.0,0.1,,62.9,,36.44,,,,0.0
4421,1014.5,20151130,28.0-95.0,20.7,,,,,,,,0.0
4422,1014.8,20151130,29.0-94.0,18.7,,,,35.6939,,,,0.0
4423,1017.1,20151130,30.0-87.0,25.7,,,,,,,,0.0
4424,1016.9,20151130,30.0-88.0,24.6,,92.0,7.79,16.2,,,,0.0
4425,1016.2,20151130,30.0-89.0,20.4,,87.0,,32.89,,,,0.0
4426,1015.8,20151130,29.0-89.0,20.7,,,,,,,,0.0
4427,1016.3,20151130,29.0-90.0,21.7,,95.6,,,,,,0.0
4428,1015.2,20151130,30.0-90.0,20.7,,,,,,,,0.0
4429,1015.3,20151130,30.0-91.0,21.6,,,,,,,,0.0
4430,1014.8,20151130,29.0-91.0,22.1,,90.3,,5.39,,,,0.0
4431,1015.5,20151130,30.0-92.0,20.0,,,,,,,,0.0
4432,1014.3,20151130,30.0-93.0,20.6,,,,,,,,0.0
4433,1016.6,20151130,30.0-95.0,14.8,,,,10.63,,,,0.0
4434,1016.0,20151130,29.0-95.0,16.5,,,,,,,,0.0
4435,1016.0,20151130,29.0-97.0,,,,,,,,,0.0
4436,1016.4,20151130,28.0-97.0,13.6,,,,12.8,,,,0.0
4437,9999.0,20151130,28.0-96.0,14.5,,,,33.5753,,,,0.0
4438,1015.1,20151130,30.0-94.0,19.0,,,,21.7656,,,,0.0
4439,,20151130,28.0-89.0,22.9,,,,,,,,0.0
4440,,20151130,28.0-88.0,24.3,,,,,,,,0.0
4441,0.0,20160601,27.0-96.0,0.0,,0.0,,0.01,,,1850.0,0.0
4442,1009.7,20160601,28.0-95.0,27.7,,,,,,,1850.0,0.0
4443,1010.6,20160601,29.0-94.0,26.2,,,,25.3719,,,1850.0,0.0
4444,1006.74,20160601,29.0-92.0,28.18,,63.8,,,,,1850.0,0.0
4445,1014.7,20160601,30.0-87.0,34.3,,,,,,,1850.0,0.0
4446,1014.3,20160601,30.0-91.0,26.7,,,,,,,1850.0,0.0
4447,1013.1,20160601,29.0-91.0,27.2,,,,0.14,,,1850.0,0.0
4448,1013.3,20160601,30.0-92.0,26.7,,,,,,,1850.0,0.0
4449,1008.5,20160601,29.0-97.0,28.0,,,,,,,1850.0,0.0
4450,1014.2,20160601,30.0-89.0,28.2,,,,,,,1850.0,0.0
4451,1014.3,20160601,29.0-89.0,,,,,,,,1850.0,0.0
4452,1014.1,20160601,30.0-90.0,27.4,,,,,,,1850.0,0.0
4453,1011.4,20160601,30.0-93.0,25.8,,,,,,,1850.0,0.0
4454,1010.1,20160601,29.0-95.0,28.0,,,,,,,1850.0,0.0
4455,1012.5,20160601,28.0-92.0,28.3,,,,,,,1850.0,0.0
4456,1015.2,20160601,28.0-91.0,28.3,,,,,,,1850.0,0.0
4457,1011.71,20160601,28.0-94.0,-2.1,,71.1,,34.01,,,1850.0,0.0
4458,1015.0,20160601,29.0-90.0,24.0,,95.9,,,,,1850.0,0.0
4459,1013.8,20160601,30.0-88.0,27.3,,69.0,6.87,3.7,,,1850.0,0.0
4460,1009.0,20160601,28.0-97.0,27.8,,,,4.2,,,1850.0,0.0
4461,9999.0,20160601,28.0-96.0,27.6,,,,24.0757,,,1850.0,0.0
4462,1011.8,20160601,30.0-95.0,28.3,,,,,,,1850.0,0.0
4463,1012.3,20160601,30.0-94.0,23.6,,,,22.4614,,,1850.0,0.0
4464,,20160601,28.0-89.0,26.6,,,,,,,1850.0,0.0
4465,999.29,20160602,27.0-96.0,-28.7,,1.1,,0.01,,,,0.0
4466,1006.88,20160602,29.0-92.0,28.27,,60.8,,,,,,0.0
4467,1012.9,20160602,28.0-92.0,27.8,,,,,,,,0.0
4468,1015.6,20160602,28.0-91.0,28.9,,,,,,,,0.0
4469,1013.31,20160602,28.0-94.0,-8.3,,72.5,,32.98,,,,0.0
4470,1013.3,20160602,28.0-95.0,21.1,,,,,,,,0.0
4471,1011.6,20160602,29.0-94.0,24.8,,,,20.3361,,,,0.0
4472,1016.0,20160602,30.0-87.0,35.0,,,,,,,,0.0
4473,1016.1,20160602,30.0-88.0,26.8,,70.0,7.08,3.2,,,,0.0
4474,1014.8,20160602,30.0-89.0,27.4,,,,,,,,0.0
4475,1014.8,20160602,29.0-89.0,,,,,,,,,0.0
4476,1014.6,20160602,29.0-90.0,28.0,,79.2,,,,,,0.0
4477,1014.6,20160602,30.0-90.0,27.7,,,,,,,,0.0
4478,1015.0,20160602,30.0-91.0,27.1,,,,,,,,0.0
4479,1013.7,20160602,29.0-91.0,27.6,,76.0,,0.14,,,,0.0
4480,1014.7,20160602,30.0-92.0,23.5,,,,,,,,0.0
4481,1012.8,20160602,30.0-93.0,23.2,,,,,,,,0.0
4482,1011.5,20160602,29.0-95.0,25.7,,,,,,,,0.0
4483,1010.4,20160602,29.0-97.0,24.7,,,,,,,,0.0
4484,1010.3,20160602,28.0-97.0,24.7,,,,5.2,,,,0.0
4485,9999.0,20160602,28.0-96.0,25.2,,,,23.7853,,,,0.0
4486,1012.0,20160602,30.0-95.0,28.8,,,,,,,,0.0
4487,1013.0,20160602,30.0-94.0,23.5,,,,15.6203,,,,0.0
4488,,20160602,28.0-89.0,26.8,,,,,,,,0.0
4489,999.55,20160603,27.0-96.0,-28.7,,1.1,,0.01,,,,0.0
4490,1005.35,20160603,29.0-92.0,24.9,,77.0,,,,,,0.0
4491,1011.9,20160603,28.0-92.0,26.1,,,,,,,,0.0
4492,1012.9,20160603,28.0-91.0,28.3,,,,,,,,0.0
4493,1011.55,20160603,28.0-94.0,-1.0,,73.1,,33.24,,,,0.0
4494,1010.1,20160603,28.0-95.0,26.5,,,,,,,,0.0
4495,1010.5,20160603,29.0-94.0,26.0,,,,25.1482,,,,0.0
4496,1015.1,20160603,30.0-87.0,35.9,,,,,,,,0.0
4497,1014.7,20160603,30.0-88.0,27.7,,75.0,6.87,2.4,,,,0.0
4498,1013.3,20160603,30.0-89.0,28.1,,76.0,,,,,,0.0
4499,1013.3,20160603,29.0-89.0,,,,,,,,,0.0
4500,1013.7,20160603,29.0-90.0,22.2,,84.9,,,,,,0.0
4501,1014.2,20160603,30.0-90.0,23.5,,,,,,,,0.0
4502,1014.0,20160603,30.0-91.0,23.1,,,,,,,,0.0
4503,1012.5,20160603,29.0-91.0,25.1,,77.9,,0.19,,,,0.0
4504,1012.8,20160603,30.0-92.0,24.7,,,,,,,,0.0
4505,1011.0,20160603,30.0-93.0,25.2,,,,,,,,0.0
4506,1010.7,20160603,29.0-95.0,26.6,,,,,,,,0.0
4507,1009.7,20160603,29.0-97.0,25.4,,,,,,,,0.0
4508,1010.0,20160603,28.0-97.0,25.7,,,,3.7,,,,0.0
4509,9999.0,20160603,28.0-96.0,25.6,,,,22.7389,,,,0.0
4510,1011.2,20160603,30.0-95.0,29.6,,,,,,,,0.0
4511,1011.5,20160603,30.0-94.0,24.5,,,,17.1038,,,,0.0
4512,,20160603,28.0-89.0,25.4,,,,,,,,0.0
4513,998.95,20160604,27.0-96.0,-28.4,,1.1,,0.01,,,,0.0
4514,1007.8,20160604,28.0-95.0,24.5,,,,,,,,0.0
4515,1007.1,20160604,29.0-94.0,24.7,,,,22.5097,,,,0.0
4516,1003.019,20160604,29.0-92.0,23.23,,77.2,,,,401.950714111328,,0.0
4517,1003.019,20160604,29.0-92.0,23.23,,77.2,,,,401.85693359375,,0.0
4518,1010.5,20160604,28.0-92.0,24.4,,,,,,,,0.0
4519,1011.5,20160604,28.0-91.0,27.2,,,,,,,,0.0
4520,1009.32,20160604,28.0-94.0,-1.9,,74.3,,33.16,,,,0.0
4521,1011.9,20160604,30.0-87.0,34.6,,,,,,,,0.0
4522,1012.5,20160604,30.0-88.0,26.6,,91.0,6.65,1.8,,,,0.0
4523,1012.0,20160604,30.0-89.0,23.4,,,,,,,,0.0
4524,1010.7,20160604,29.0-89.0,,,,,,,,,0.0
4525,1010.9,20160604,30.0-90.0,25.8,,,,,,,,0.0
4526,1011.8,20160604,30.0-91.0,21.9,,,,,,,,0.0
4527,1010.4,20160604,29.0-91.0,21.4,,81.0,,0.19,,,,0.0
4528,1009.8,20160604,30.0-92.0,21.6,,,,,,,,0.0
4529,1008.2,20160604,30.0-93.0,22.6,,,,,,,,0.0
4530,1008.2,20160604,29.0-95.0,24.7,,,,,,,,0.0
4531,1008.5,20160604,29.0-97.0,24.0,,,,,,,,0.0
4532,1008.8,20160604,28.0-97.0,26.5,,,,3.8,,,,0.0
4533,9999.0,20160604,28.0-96.0,25.0,,,,22.2167,,,,0.0
4534,1008.2,20160604,30.0-95.0,28.7,,,,,,,,0.0
4535,1008.6,20160604,30.0-94.0,24.2,,,,14.6719,,,,0.0
4536,1010.1,20160604,29.0-90.0,27.4,,77.9,,,,,,0.0
4537,,20160604,28.0-89.0,26.9,,,,,,,,0.0
4538,1000.67,20160605,27.0-96.0,-28.9,,1.1,,0.01,,,,0.0
4539,1008.8,20160605,28.0-91.0,25.0,,,,,,,,0.0
4540,1002.438,20160605,29.0-92.0,27.26,,66.0,,,,,,0.0
4541,1008.5,20160605,28.0-92.0,25.6,,,,,,,,0.0
4542,1008.36,20160605,28.0-94.0,-2.0,,71.2,,33.0,,,,0.0
4543,1008.0,20160605,28.0-95.0,26.3,,,,,,,,0.0
4544,1008.3,20160605,29.0-94.0,26.3,,,,27.22,,,,0.0
4545,1010.7,20160605,30.0-87.0,36.2,,,,,,,,0.0
4546,1010.7,20160605,30.0-88.0,27.0,,80.0,6.8,1.2,,,,0.0
4547,1009.7,20160605,30.0-89.0,27.4,,87.0,,,,,,0.0
4548,1009.4,20160605,29.0-89.0,,,,,,,,,0.0
4549,1009.2,20160605,29.0-90.0,27.0,,78.9,,,,,,0.0
4550,1009.3,20160605,30.0-90.0,26.9,,,,,,,,0.0
4551,1009.9,20160605,30.0-91.0,27.9,,,,,,,,0.0
